"Season","Team","Conference","StatName","StatValue"
"2024","UCF","Big 12","tacklesForLoss","27"
"2024","Oklahoma State","Big 12","passCompletions","139"
"2024","Houston","Big 12","turnovers","10"
"2024","Cincinnati","Big 12","interceptionTDs","0"
"2024","UCF","Big 12","penalties","27"
"2024","Utah","Big 12","totalYards","2085"
"2024","Arizona","Big 12","puntReturnTDs","0"
"2024","BYU","Big 12","netPassingYards","1233"
"2024","Baylor","Big 12","thirdDownConversions","32"
"2024","Arizona State","Big 12","passAttempts","135"
"2024","Houston","Big 12","possessionTime","11037"
"2024","Arizona State","Big 12","possessionTime","9761"
"2024","Arizona State","Big 12","passingTDs","7"
"2024","Arizona State","Big 12","thirdDowns","70"
"2024","UCF","Big 12","penaltyYards","244"
"2024","Arizona State","Big 12","interceptionTDs","1"
"2024","Texas Tech","Big 12","puntReturnYards","29"
"2024","Utah","Big 12","tacklesForLoss","32"
"2024","TCU","Big 12","sacks","10"
"2024","Texas Tech","Big 12","puntReturnTDs","0"
"2024","Baylor","Big 12","puntReturnTDs","0"
"2024","Colorado","Big 12","interceptionTDs","0"
"2024","Kansas","Big 12","penaltyYards","285"
"2024","Kansas State","Big 12","games","12"
"2024","Kansas","Big 12","turnovers","11"
"2024","Iowa State","Big 12","interceptionTDs","0"
"2024","BYU","Big 12","fumblesRecovered","3"
"2024","Utah","Big 12","possessionTime","10637"
"2024","Texas Tech","Big 12","kickReturns","14"
"2024","Kansas","Big 12","sacks","10"
"2024","UCF","Big 12","passingTDs","7"
"2024","Iowa State","Big 12","games","12"
"2024","Baylor","Big 12","netPassingYards","1371"
"2024","Baylor","Big 12","rushingAttempts","210"
"2024","West Virginia","Big 12","kickReturnTDs","0"
"2024","TCU","Big 12","passCompletions","169"
"2024","BYU","Big 12","passCompletions","92"
"2024","Arizona State","Big 12","sacks","9"
"2024","BYU","Big 12","interceptionYards","18"
"2024","Baylor","Big 12","interceptions","5"
"2024","TCU","Big 12","rushingYards","573"
"2024","Arizona","Big 12","fumblesRecovered","3"
"2024","Utah","Big 12","penaltyYards","182"
"2024","Kansas State","Big 12","fourthDownConversions","5"
"2024","Oklahoma State","Big 12","penalties","25"
"2024","BYU","Big 12","kickReturnTDs","1"
"2024","TCU","Big 12","puntReturns","14"
"2024","Arizona State","Big 12","interceptionYards","47"
"2024","Kansas State","Big 12","puntReturns","9"
"2024","BYU","Big 12","sacks","10"
"2024","Kansas State","Big 12","rushingYards","1263"
"2024","Colorado","Big 12","passingTDs","14"
"2024","TCU","Big 12","firstDowns","142"
"2024","Arizona State","Big 12","thirdDownConversions","31"
"2024","TCU","Big 12","netPassingYards","2057"
"2024","UCF","Big 12","kickReturnYards","257"
"2024","Houston","Big 12","penalties","42"
"2024","Cincinnati","Big 12","thirdDowns","63"
"2024","Texas Tech","Big 12","puntReturns","7"
"2024","Houston","Big 12","passAttempts","144"
"2024","Oklahoma State","Big 12","fourthDownConversions","6"
"2024","Oklahoma State","Big 12","firstDowns","115"
"2024","Kansas","Big 12","puntReturnTDs","0"
"2024","Arizona","Big 12","kickReturnTDs","0"
"2024","Cincinnati","Big 12","interceptions","1"
"2024","Iowa State","Big 12","passingTDs","9"
"2024","Baylor","Big 12","fumblesRecovered","4"
"2024","West Virginia","Big 12","fourthDowns","16"
"2024","West Virginia","Big 12","interceptionTDs","0"
"2024","Houston","Big 12","fourthDownConversions","5"
"2024","Kansas State","Big 12","rushingAttempts","181"
"2024","TCU","Big 12","passingTDs","17"
"2024","Oklahoma State","Big 12","kickReturnYards","367"
"2024","UCF","Big 12","rushingAttempts","249"
"2024","Kansas State","Big 12","thirdDownConversions","24"
"2024","West Virginia","Big 12","netPassingYards","1083"
"2024","Kansas","Big 12","netPassingYards","1116"
"2024","Kansas","Big 12","tacklesForLoss","34"
"2024","Arizona","Big 12","passingTDs","7"
"2024","Houston","Big 12","tacklesForLoss","34"
"2024","Kansas State","Big 12","tacklesForLoss","33"
"2024","Houston","Big 12","rushingTDs","5"
"2024","TCU","Big 12","interceptionTDs","0"
"2024","Baylor","Big 12","firstDowns","113"
"2024","Texas Tech","Big 12","games","12"
"2024","Colorado","Big 12","fourthDowns","8"
"2024","West Virginia","Big 12","puntReturnTDs","0"
"2024","BYU","Big 12","passingTDs","11"
"2024","Arizona","Big 12","interceptionTDs","0"
"2024","UCF","Big 12","thirdDowns","70"
"2024","Colorado","Big 12","sacks","10"
"2024","Kansas State","Big 12","thirdDowns","62"
"2024","Utah","Big 12","netPassingYards","1176"
"2024","Colorado","Big 12","games","12"
"2024","Texas Tech","Big 12","passesIntercepted","8"
"2024","UCF","Big 12","thirdDownConversions","33"
"2024","TCU","Big 12","kickReturns","13"
"2024","Texas Tech","Big 12","fumblesRecovered","3"
"2024","Kansas","Big 12","kickReturnTDs","0"
"2024","Kansas State","Big 12","interceptionYards","24"
"2024","Iowa State","Big 12","firstDowns","104"
"2024","Kansas State","Big 12","fumblesRecovered","2"
"2024","Houston","Big 12","games","12"
"2024","Iowa State","Big 12","passCompletions","92"
"2024","Houston","Big 12","thirdDowns","79"
"2024","TCU","Big 12","penaltyYards","431"
"2024","Colorado","Big 12","puntReturns","9"
"2024","Arizona State","Big 12","rushingAttempts","220"
"2024","Oklahoma State","Big 12","passingTDs","14"
"2024","Kansas State","Big 12","kickReturns","5"
"2024","Cincinnati","Big 12","interceptionYards","1"
"2024","Houston","Big 12","fumblesLost","4"
"2024","Cincinnati","Big 12","penaltyYards","179"
"2024","BYU","Big 12","penalties","23"
"2024","Colorado","Big 12","penalties","40"
"2024","Arizona","Big 12","rushingTDs","7"
"2024","Cincinnati","Big 12","passCompletions","111"
"2024","West Virginia","Big 12","fourthDownConversions","12"
"2024","Baylor","Big 12","kickReturnYards","263"
"2024","TCU","Big 12","totalYards","2630"
"2024","TCU","Big 12","turnovers","14"
"2024","Colorado","Big 12","rushingTDs","5"
"2024","Colorado","Big 12","thirdDownConversions","29"
"2024","UCF","Big 12","rushingYards","1412"
"2024","Kansas","Big 12","passesIntercepted","6"
"2024","Oklahoma State","Big 12","penaltyYards","227"
"2024","Arizona State","Big 12","kickReturnYards","43"
"2024","Kansas","Big 12","penalties","30"
